Num   theta     phi         ul          ul_err   
274   1.318    0.393   4.999775e-15  4.165162e-16
275   1.318    0.589   6.142797e-15  4.798221e-16
276   1.318    0.785   6.975632e-15  4.212335e-16
277   1.318    0.982   9.145795e-15  4.837281e-16
278   1.318    1.178   9.583454e-15  3.980123e-16
279   1.318    1.374   1.091425e-14  4.238686e-16
280   1.318    1.571   1.235462e-14  5.050408e-16
281   1.318    1.767   1.130957e-14  3.498993e-16
282   1.318    1.963   1.017650e-14  5.466518e-16
283   1.318    2.160   9.765234e-15  5.426953e-16
284   1.318    2.356   8.928884e-15  6.478554e-16
285   1.318    2.553   8.490428e-15  4.743484e-16
286   1.318    2.749   6.026564e-15  3.534482e-16
287   1.318    2.945   4.644686e-15  3.698045e-16
288   1.318    3.142   3.945603e-15  1.339315e-16
289   1.318    3.338   3.404214e-15  1.972309e-16
290   1.318    3.534   2.994424e-15  1.806331e-16
291   1.318    3.731   3.156913e-15  3.397904e-16
292   1.318    3.927   2.599238e-15  1.282236e-16
293   1.318    4.123   2.208451e-15  1.215414e-16
294   1.318    4.320   1.955719e-15  1.065624e-16
295   1.318    4.516   1.981998e-15  1.528409e-16
296   1.318    4.712   2.038343e-15  1.728148e-16
297   1.318    4.909   2.139304e-15  1.037915e-16
298   1.318    5.105   2.595415e-15  2.024199e-16
299   1.318    5.301   2.540415e-15  1.598215e-16
300   1.318    5.498   2.247033e-15  1.656318e-16
301   1.318    5.694   2.535217e-15  2.015383e-16
302   1.318    5.890   2.789778e-15  1.869565e-16
303   1.318    6.087   3.123892e-15  1.534954e-16
304   1.403    0.098   3.842679e-15  1.443080e-16
305   1.403    0.295   4.393306e-15  2.082161e-16
306   1.403    0.491   6.023997e-15  5.783256e-16
307   1.403    0.687   7.561464e-15  6.431474e-16
308   1.403    0.884   8.234145e-15  9.513192e-16
309   1.403    1.080   9.064887e-15  6.552405e-16
310   1.403    1.276   1.221217e-14  1.742608e-15
311   1.403    1.473   1.354179e-14  1.156854e-15
312   1.403    1.669   1.256384e-14  5.144751e-16
313   1.403    1.865   1.101375e-14  3.945613e-16
314   1.403    2.062   9.920113e-15  6.240120e-16
315   1.403    2.258   1.052890e-14  6.202277e-16
316   1.403    2.454   7.943139e-15  5.609466e-16
317   1.403    2.651   6.640137e-15  2.276715e-16
318   1.403    2.847   4.921310e-15  3.874577e-16
319   1.403    3.043   4.244131e-15  2.255127e-16
320   1.403    3.240   3.662953e-15  1.364878e-16
321   1.403    3.436   2.766582e-15  1.537105e-16
322   1.403    3.632   2.933229e-15  2.222998e-16
323   1.403    3.829   2.505860e-15  1.832427e-16
